run_index,algorithm,scenario,scenario_path,seed,best_cost,total_evaluations,runtime_seconds,population_size,generations,elite_count,tournament_size,step_size,crossover_imports,mutation_count,log_every,record_mean,iterations,max_attempts_per_iteration,restarts
1,ga,obs_05.xml,../Scenarios/obs_05.xml,69,0.0009305045636236169,56,244.3532268999843,8,8,2,3,50.0,10,10,0,True,,,
2,ga,obs_05.xml,../Scenarios/obs_05.xml,420,0.0009314973244061868,56,232.19700859999284,8,8,2,3,50.0,10,10,0,True,,,
3,ga,obs_05.xml,../Scenarios/obs_05.xml,2810,0.0009307006191809309,56,230.5600320000667,8,8,2,3,50.0,10,10,0,True,,,
4,ga,obs_05.xml,../Scenarios/obs_05.xml,9999,0.0009307729852899706,56,308.0875997999683,8,8,2,3,50.0,10,10,0,True,,,
5,ga,obs_05.xml,../Scenarios/obs_05.xml,2026,0.0009304677864673008,56,249.63670310005546,8,8,2,3,50.0,10,10,0,True,,,
6,ga,obs_05.xml,../Scenarios/obs_05.xml,666,0.0009313170193932028,56,257.0957784000784,8,8,2,3,50.0,10,10,0,True,,,
7,ga,obs_05.xml,../Scenarios/obs_05.xml,777,0.000929994890462397,56,257.23290709999856,8,8,2,3,50.0,10,10,0,True,,,
8,ga,obs_05.xml,../Scenarios/obs_05.xml,12345,0.0009309297963758022,56,253.36201780010015,8,8,2,3,50.0,10,10,0,True,,,
9,ga,obs_05.xml,../Scenarios/obs_05.xml,1612,0.0009314766813870725,56,257.2190511999652,8,8,2,3,50.0,10,10,0,True,,,
10,ga,obs_05.xml,../Scenarios/obs_05.xml,2712,0.0009306566128628777,56,242.3634643999394,8,8,2,3,50.0,10,10,0,True,,,
11,hc,obs_05.xml,../Scenarios/obs_05.xml,69,0.0009314950832370989,54,211.53865870006848,,,,,50.0,,,0,,25,5,
12,hc,obs_05.xml,../Scenarios/obs_05.xml,420,0.0009306681846870361,51,199.72407719993498,,,,,50.0,,,0,,25,5,
13,hc,obs_05.xml,../Scenarios/obs_05.xml,2810,0.0009323813059538233,51,200.17131979996338,,,,,50.0,,,0,,25,5,
14,hc,obs_05.xml,../Scenarios/obs_05.xml,9999,0.0009308585905177768,39,154.46744949999265,,,,,50.0,,,0,,25,5,
15,hc,obs_05.xml,../Scenarios/obs_05.xml,2026,0.0009317028275663247,45,177.40533610002603,,,,,50.0,,,0,,25,5,
16,hc,obs_05.xml,../Scenarios/obs_05.xml,666,0.0009316717444348544,52,203.09815880004317,,,,,50.0,,,0,,25,5,
17,hc,obs_05.xml,../Scenarios/obs_05.xml,777,0.0009327743390800789,48,187.7463599999901,,,,,50.0,,,0,,25,5,
18,hc,obs_05.xml,../Scenarios/obs_05.xml,12345,0.0009334794628677044,42,164.79413649998605,,,,,50.0,,,0,,25,5,
19,hc,obs_05.xml,../Scenarios/obs_05.xml,1612,0.0009308201344780139,49,191.26833909994457,,,,,50.0,,,0,,25,5,
20,hc,obs_05.xml,../Scenarios/obs_05.xml,2712,0.0009340569875660588,47,184.46408159995917,,,,,50.0,,,0,,25,5,
21,shc,obs_05.xml,../Scenarios/obs_05.xml,69,0.0009321209237830545,33,130.07738330005668,,,,,50.0,,,0,,40,,
22,shc,obs_05.xml,../Scenarios/obs_05.xml,420,0.000931133536943488,34,132.88461629999802,,,,,50.0,,,0,,40,,
23,shc,obs_05.xml,../Scenarios/obs_05.xml,2810,0.0009324390265108329,31,121.51405380002689,,,,,50.0,,,0,,40,,
24,shc,obs_05.xml,../Scenarios/obs_05.xml,9999,0.0009310102662595214,34,132.8685400999384,,,,,50.0,,,0,,40,,
25,shc,obs_05.xml,../Scenarios/obs_05.xml,2026,0.0009319836931556859,33,128.34186090005096,,,,,50.0,,,0,,40,,
26,shc,obs_05.xml,../Scenarios/obs_05.xml,666,0.0009319768729470737,36,140.79094640002586,,,,,50.0,,,0,,40,,
27,shc,obs_05.xml,../Scenarios/obs_05.xml,777,0.0009330629394898493,33,129.0645261000609,,,,,50.0,,,0,,40,,
28,shc,obs_05.xml,../Scenarios/obs_05.xml,12345,0.000933693072336403,33,128.6451798999915,,,,,50.0,,,0,,40,,
29,shc,obs_05.xml,../Scenarios/obs_05.xml,1612,0.0009310172173205484,36,140.77789270004723,,,,,50.0,,,0,,40,,
30,shc,obs_05.xml,../Scenarios/obs_05.xml,2712,0.0009343187902549253,33,129.61686419998296,,,,,50.0,,,0,,40,,
31,rrhc,obs_05.xml,../Scenarios/obs_05.xml,69,0.000930954668947397,36,142.02410749997944,,,,,50.0,,,0,,5,5,4
32,rrhc,obs_05.xml,../Scenarios/obs_05.xml,420,0.0009328456966636228,50,196.0140777999768,,,,,50.0,,,0,,5,5,4
33,rrhc,obs_05.xml,../Scenarios/obs_05.xml,2810,0.0009332130693823277,46,180.20110340008978,,,,,50.0,,,0,,5,5,4
34,rrhc,obs_05.xml,../Scenarios/obs_05.xml,9999,0.0009324004000074065,34,134.1846421000082,,,,,50.0,,,0,,5,5,4
35,rrhc,obs_05.xml,../Scenarios/obs_05.xml,2026,0.0009322969301750881,41,161.24367970007006,,,,,50.0,,,0,,5,5,4
36,rrhc,obs_05.xml,../Scenarios/obs_05.xml,666,0.0009329695766306325,39,153.69483419996686,,,,,50.0,,,0,,5,5,4
37,rrhc,obs_05.xml,../Scenarios/obs_05.xml,777,0.0009333719053169163,40,157.27497040003072,,,,,50.0,,,0,,5,5,4
38,rrhc,obs_05.xml,../Scenarios/obs_05.xml,12345,0.0009318651257797535,39,153.77477010001894,,,,,50.0,,,0,,5,5,4
39,rrhc,obs_05.xml,../Scenarios/obs_05.xml,1612,0.0009319209886035066,45,177.01566890010145,,,,,50.0,,,0,,5,5,4
40,rrhc,obs_05.xml,../Scenarios/obs_05.xml,2712,0.0009320437557132865,48,188.6540243999334,,,,,50.0,,,0,,5,5,4
